id,target_company,acquirer,sector,subsector,geography,announcement_date,deal_value_musd,revenue_musd,ebitda_musd,ev_revenue_multiple,ev_ebitda_multiple,buyer_type,deal_type,target_description,rationale,source_quality_score,confidence_score,data_source,source_name,source_url,source_type,source_date,verification_status,extracted_at,filing_accession,source_notes
100001,Discover Financial Services,Capital One Financial Corporation,Financial Services,Payments,North America,2024-02-19,35300,,,,,Strategic,Merger,Discover Financial Services is a public payments and consumer finance company.,Combines card issuing scale and payment network economics based on the announced all-stock acquisition.,0.96,0.94,public,Capital One Investor Relations,https://investor.capitalone.com/news-releases/news-release-details/capital-one-acquire-discover/,Company press release,2024-02-19,Source-backed,2026-06-04,,Transaction value and rationale captured from Capital One public announcement.
100002,Ansys,Synopsys,Software,Engineering Software,North America,2024-01-16,35000,,,,,Strategic,Merger,Ansys provides engineering simulation and analysis software.,Creates a silicon-to-systems design software platform through a strategic acquisition.,0.96,0.94,public,Synopsys Investor Relations,https://investor.synopsys.com/news/news-details/2024/Synopsys-to-Acquire-Ansys-Creating-a-Leader-in-Silicon-to-Systems-Design-Solutions/default.aspx,Company press release,2024-01-16,Source-backed,2026-06-04,,Enterprise value captured from Synopsys public announcement.
100003,Splunk,Cisco Systems,Software,Security Analytics,North America,2024-03-18,28000,,,,,Strategic,Strategic acquisition,Splunk provides observability security and data analytics software.,Expands Cisco security observability and data capabilities with a scaled software platform.,0.96,0.93,public,Cisco Investor Relations,https://investor.cisco.com/news/news-details/2024/Cisco-Completes-Acquisition-of-Splunk/,Company press release,2024-03-18,Source-backed,2026-06-04,,Equity value captured from Cisco completion announcement.
100004,Juniper Networks,Hewlett Packard Enterprise,Software,Networking Infrastructure,North America,2024-01-09,14000,,,,,Strategic,Strategic acquisition,Juniper Networks provides AI-native networking products and services.,Accelerates HPE networking scale and AI-driven enterprise infrastructure strategy.,0.95,0.93,public,HPE Newsroom,https://www.hpe.com/us/en/newsroom/press-release/2024/01/hpe-to-acquire-juniper-networks-to-accelerate-ai-driven-innovation.html,Company press release,2024-01-09,Source-backed,2026-06-04,,Equity value captured from HPE public announcement.
100005,Shockwave Medical,Johnson & Johnson,Healthcare Services,Medical Devices,North America,2024-04-05,13100,,,,,Strategic,Strategic acquisition,Shockwave Medical develops intravascular lithotripsy technology for cardiovascular disease.,Extends Johnson & Johnson MedTech cardiovascular capabilities through a targeted device acquisition.,0.94,0.91,public,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1642545/000119312524088629/d39172ddefa14a.htm,SEC filing,2024-04-05,Source-backed,2026-06-04,0001193125-24-088629,Enterprise value captured from SEC-filed transaction communication.
100006,SRS Distribution,The Home Depot,Consumer,Building Products Distribution,North America,2024-03-28,18250,,,,,Strategic,Strategic acquisition,SRS Distribution is a specialty trade distributor serving professional contractors.,Expands Home Depot professional customer capabilities and specialty distribution reach.,0.96,0.94,public,The Home Depot Investor Relations,https://ir.homedepot.com/news-releases/2024/03-28-2024-100102814,Company press release,2024-03-28,Source-backed,2026-06-04,,Transaction value captured from Home Depot public announcement.
100007,Pioneer Natural Resources,ExxonMobil,Energy Transition,Oil & Gas,North America,2023-10-11,59500,,,,,Strategic,Merger,Pioneer Natural Resources was a major Permian basin oil and gas producer.,Builds ExxonMobil Permian scale and upstream resource depth through an all-stock merger.,0.96,0.94,public,ExxonMobil Investor Relations,https://investor.exxonmobil.com/company-information/press-releases/detail/1147/exxonmobil-announces-merger-with-pioneer-natural-resources,Company press release,2023-10-11,Source-backed,2026-06-04,,Transaction value captured from ExxonMobil public announcement.
100008,Hess Corporation,Chevron Corporation,Energy Transition,Oil & Gas,North America,2023-10-23,53000,,,,,Strategic,Merger,Hess Corporation was a global exploration and production company.,Adds upstream assets and long-duration resource exposure through an all-stock strategic acquisition.,0.96,0.94,public,Chevron Newsroom,https://www.chevron.com/newsroom/2023/q4/chevron-announces-agreement-to-acquire-hess,Company press release,2023-10-23,Source-backed,2026-06-04,,Transaction value captured from Chevron public announcement.
100009,HashiCorp,IBM,Software,Cloud Infrastructure,North America,2024-04-24,6400,,,,,Strategic,Strategic acquisition,HashiCorp provides multi-cloud infrastructure automation software.,Strengthens IBM hybrid cloud automation and lifecycle management capabilities.,0.95,0.93,public,IBM Newsroom,https://newsroom.ibm.com/2024-04-24-IBM-to-Acquire-HashiCorp-Inc-Creating-a-Comprehensive-End-to-End-Hybrid-Cloud-Platform,Company press release,2024-04-24,Source-backed,2026-06-04,,Enterprise value captured from IBM public announcement.
100010,Own Company,Salesforce,Software,Data Protection,North America,2024-09-05,1900,,,,,Strategic,Strategic acquisition,Own Company provides SaaS data protection and data management solutions.,Expands Salesforce data protection and platform resilience capabilities.,0.94,0.91,public,Salesforce Investor Relations,https://investor.salesforce.com/news/news-details/2024/Salesforce-Signs-Definitive-Agreement-to-Acquire-Own-Company/default.aspx,Company press release,2024-09-05,Source-backed,2026-06-04,,Cash consideration captured from Salesforce public announcement.
100011,VIZIO,Walmart,Media & Entertainment,Connected TV Advertising,North America,2024-02-20,2300,,,,,Strategic,Strategic acquisition,VIZIO provides smart TV hardware and the SmartCast connected TV platform.,Accelerates Walmart Connect advertising reach through connected TV inventory and data.,0.95,0.92,public,Walmart Corporate Newsroom,https://corporate.walmart.com/news/2024/02/20/walmart-agrees-to-acquire-vizio-holding-corp-to-facilitate-accelerated-growth-of-walmart-connect-through-vizio-s-smartcast-operating-system,Company press release,2024-02-20,Source-backed,2026-06-04,,Equity value captured from Walmart public announcement.
100012,Marathon Oil,ConocoPhillips,Energy Transition,Oil & Gas,North America,2024-05-29,22500,,,,,Strategic,Merger,Marathon Oil was an independent exploration and production company.,Deepens ConocoPhillips unconventional resource exposure through an all-stock transaction.,0.96,0.94,public,ConocoPhillips Newsroom,https://www.conocophillips.com/news-media/story/conocophillips-to-acquire-marathon-oil-corporation-in-all-stock-transaction-provides-shareholder-distribution-update/,Company press release,2024-05-29,Source-backed,2026-06-04,,Enterprise value captured from ConocoPhillips public announcement.
100013,Global Infrastructure Partners,BlackRock,Financial Services,Infrastructure Asset Management,North America,2024-01-12,12500,,,,,Strategic,Strategic acquisition,Global Infrastructure Partners is an independent infrastructure investment manager.,Expands BlackRock private markets and infrastructure investing capabilities.,0.94,0.91,public,BlackRock Newsroom,https://www.blackrock.com/corporate/newsroom/press-releases/article/corporate-one/press-releases/blackRock-agrees-to-acquire-global-infrastructure-partners,Company press release,2024-01-12,Source-backed,2026-06-04,,Cash and stock consideration captured from BlackRock public announcement.
100014,Catalent,Novo Holdings,Healthcare Services,Pharma Services,North America,2024-02-05,16500,,,,,Sponsor,Take-private,Catalent provides pharmaceutical development and manufacturing services.,Adds scaled fill-finish and drug manufacturing capacity to Novo Holdings portfolio.,0.95,0.92,public,Catalent Newsroom,https://www.catalent.com/catalent-news/novo-holdings-to-acquire-catalent/,Company press release,2024-02-05,Source-backed,2026-06-04,,Enterprise value captured from Catalent public announcement.
100015,UScellular Wireless Operations,T-Mobile,Media & Entertainment,Wireless Communications,North America,2024-05-28,4400,,,,,Strategic,Carve-out,UScellular wireless operations include customers stores and selected spectrum assets.,Expands T-Mobile network reach and rural wireless customer base through an asset acquisition.,0.94,0.9,public,UScellular Investor Relations,https://investors.uscellular.com/news/news-details/2024/UScellular-and-TDS-Announce-Sale-of-Wireless-Operations-and-Select-Spectrum-Assets-to-T-Mobile-for-Approximately-4.4-Billion-in-Cash-and-Assumed-Debt/default.aspx,Company press release,2024-05-28,Source-backed,2026-06-04,,Cash and assumed debt consideration captured from UScellular public announcement.
100016,Kellanova,Mars,Consumer,Snacks & Packaged Food,North America,2024-08-14,35900,,,,,Strategic,Strategic acquisition,Kellanova is a global snacks and packaged food company.,Combines global snacking brands and expands Mars presence across scaled food categories.,0.95,0.92,public,Kellanova Investor Relations,https://investor.kellanova.com/news-events/news-details/2024/Mars-to-Acquire-Kellanova-de7e19f9d/default.aspx,Company press release,2024-08-14,Source-backed,2026-06-04,,Enterprise value captured from Kellanova public announcement.
100017,Squarespace,Permira,Software,Website Builder,North America,2024-05-13,6900,,,,,Sponsor,Take-private,Squarespace provides website building commerce and brand tools.,Takes a public software company private with sponsor backing and operational flexibility.,0.95,0.92,public,Squarespace Press Release,https://www.squarespace.com/press-releases/2024/5/13/squarespace-to-go-private-in-69b-all-cash-transaction-with-permira,Company press release,2024-05-13,Source-backed,2026-06-04,,Enterprise value captured from Squarespace public announcement.
100018,Endeavor,Silver Lake,Media & Entertainment,Sports & Entertainment,North America,2024-04-02,13000,,,,,Sponsor,Take-private,Endeavor is a sports entertainment and talent representation company.,Takes Endeavor private under Silver Lake ownership after prior public-market listing.,0.93,0.9,public,Silver Lake Newsroom,https://www.silverlake.com/silver-lake-to-take-endeavor-private/,Company press release,2024-04-02,Source-backed,2026-06-04,,Equity value captured from Silver Lake public announcement.
