id,target_company,acquirer,sector,subsector,geography,announcement_date,deal_value_musd,revenue_musd,ebitda_musd,ev_revenue_multiple,ev_ebitda_multiple,buyer_type,deal_type,target_description,rationale,source_quality_score,confidence_score
1,Ridge Medical,Meridian Financial Group,Healthcare Services,Specialty Physician,North America,2021-01-23,716.0,211.5,,3.64,,Strategic,Platform,Ridge Medical is a fictional specialty physician company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.7,0.83
2,Kite Brands,Pacific Consolidated,Consumer,Food & Beverage,United Kingdom,2021-02-18,645.9,375.4,52.1,1.82,14.16,Corporate,Add-on,Kite Brands is a fictional food & beverage company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.65,0.74
3,Ridge Automation,Longview Legacy Partners,Industrials,Specialty Manufacturing,North America,2021-02-25,479.0,186.1,22.3,3.01,14.46,Family Office,Add-on,Ridge Automation is a fictional specialty manufacturing company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.87,0.87
4,Forge Financial,Stonebridge Equity,Financial Services,Insurance Brokerage,APAC,2021-03-07,2351.9,627.3,118.8,3.58,19.34,Sponsor,Take-private,Forge Financial is a fictional insurance brokerage company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.72,0.71
5,Yardley Partners,Longview Legacy Partners,Business Services,BPO,APAC,2021-03-07,1552.9,566.8,99.4,3.9,11.9,Family Office,Add-on,Yardley Partners is a fictional bpo company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.98,0.69
6,Yardley Energy,Apex Systems Holdings,Energy Transition,Battery Services,United Kingdom,2021-03-15,570.7,153.6,19.5,5.84,17.02,Strategic,Platform,Yardley Energy is a fictional battery services company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.9,0.75
7,Drift Events,Westlake Sponsor Group,Media & Entertainment,Creator Tools,Western Europe,2021-03-23,2400.2,812.0,186.9,2.78,15.43,Sponsor,Platform,Drift Events is a fictional creator tools company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.81,0.9
8,Kite Education,Longview Legacy Partners,Education,Professional Learning,Nordics,2021-04-18,192.7,,11.4,,15.57,Family Office,Merger,Kite Education is a fictional professional learning company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.67,0.8
9,Yardley Spa Group,BrightPath Learning,Beauty & Wellness,Personal Care Brands,Western Europe,2021-05-03,971.5,375.8,59.4,3.38,14.53,Strategic,Add-on,Yardley Spa Group is a fictional personal care brands company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.74,0.83
10,Drift Logic,Arbor Ridge Capital,Software,Cybersecurity,United Kingdom,2021-04-27,2147.6,609.8,117.0,4.76,14.5,Sponsor,Merger,Drift Logic is a fictional cybersecurity company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.71,0.8
11,Vector Care,Northstar Health Group,Healthcare Services,Revenue Cycle,North America,2021-05-27,1126.8,382.3,,2.9,,Strategic,Platform,Vector Care is a fictional revenue cycle company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.67,0.7
12,Terra Goods,Northstar Health Group,Consumer,Specialty Retail,North America,2021-05-31,1561.2,,,,,Strategic,Add-on,Terra Goods is a fictional specialty retail company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.94,0.69
13,Terra Works,Search Fund Partners,Industrials,Automation,Western Europe,2021-06-22,1845.8,673.4,101.0,3.11,14.13,Other,Add-on,Terra Works is a fictional automation company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.64,0.83
14,Vector Capital Services,Juniper Family Capital,Financial Services,Compliance Tech,Western Europe,2021-06-09,2198.7,817.8,,2.67,,Family Office,Carve-out,Vector Capital Services is a fictional compliance tech company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.86,0.83
15,Forge Operations,Founder Consortium,Business Services,Consulting,Latin America,2021-07-10,1289.3,616.7,94.6,2.34,13.56,Other,Merger,Forge Operations is a fictional consulting company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.81,0.81
16,Juniper Solar,Management Investor Group,Energy Transition,EV Infrastructure,APAC,2021-07-07,,331.8,42.1,,,Other,Platform,Juniper Solar is a fictional ev infrastructure company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.72,0.93
17,Noble Interactive,Meridian Financial Group,Media & Entertainment,Gaming Services,APAC,2021-07-30,717.6,201.1,29.1,4.72,18.03,Strategic,Platform,Noble Interactive is a fictional gaming services company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.9,0.85
18,Lumen Academy,Summit Media Network,Education,K-12 Services,North America,2021-08-08,1722.0,608.1,,1.98,,Strategic,Platform,Lumen Academy is a fictional k-12 services company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.94,0.9
19,Aster Aesthetics,Juniper Family Capital,Beauty & Wellness,Medical Spa,APAC,2021-08-23,717.3,233.1,32.3,4.33,15.74,Family Office,Platform,Aster Aesthetics is a fictional medical spa company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.9,0.78
20,Umbra Analytics,Northstar Health Group,Software,Cybersecurity,North America,2021-08-25,5436.4,744.9,262.0,6.05,24.02,Strategic,Add-on,Umbra Analytics is a fictional cybersecurity company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.97,0.73
21,Helio Partners,Ironcrest Partners,Healthcare Services,Dental Services,Western Europe,2021-08-24,416.9,122.8,33.8,1.88,18.18,Sponsor,Add-on,Helio Partners is a fictional dental services company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.94,0.7
22,Ivy Products,Atlas Enterprise Group,Consumer,Food & Beverage,North America,2021-09-20,2424.3,788.8,,3.57,,Corporate,Take-private,Ivy Products is a fictional food & beverage company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.8,0.86
23,Yardley Automation,Mariner Growth Partners,Industrials,Packaging,North America,2021-10-02,452.1,132.6,22.4,3.85,14.81,Sponsor,Add-on,Yardley Automation is a fictional packaging company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.79,0.79
24,Granite Financial,Stonebridge Equity,Financial Services,Wealth Management,North America,2021-10-17,415.7,97.7,24.7,4.77,12.98,Sponsor,Add-on,Granite Financial is a fictional wealth management company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.84,0.89
25,Orion Services,Hudson Vale Capital,Business Services,Human Capital,North America,2021-10-29,1246.8,600.4,113.6,1.88,14.51,Sponsor,Merger,Orion Services is a fictional human capital company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.64,0.72
26,Terra Mobility,Westlake Sponsor Group,Energy Transition,Solar Services,APAC,2021-11-08,1751.1,464.6,90.6,3.65,20.33,Sponsor,Growth recapitalization,Terra Mobility is a fictional solar services company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.78,0.89
27,Kite Interactive,Lattice Global,Media & Entertainment,Creator Tools,United Kingdom,2021-11-13,898.3,543.2,72.8,1.92,12.0,Corporate,Growth recapitalization,Kite Interactive is a fictional creator tools company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.77,0.75
28,Noble Education,Hudson Vale Capital,Education,Test Prep,APAC,2021-11-22,1408.1,348.1,81.2,5.57,9.36,Sponsor,Merger,Noble Education is a fictional test prep company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.81,0.88
29,Aster Spa Group,Sage Rock Holdings,Beauty & Wellness,Personal Care Brands,North America,2021-11-27,772.5,252.4,52.3,2.78,14.06,Family Office,Add-on,Aster Spa Group is a fictional personal care brands company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.65,0.78
30,Vector Cloud,Meridian Financial Group,Software,FinTech Software,Nordics,2021-12-13,1928.8,297.1,80.5,7.0,24.88,Strategic,Platform,Vector Cloud is a fictional fintech software company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.7,0.66
31,Signal Health,Pacific Consolidated,Healthcare Services,Specialty Physician,Western Europe,2021-12-18,1596.2,717.8,157.5,2.09,12.51,Corporate,Merger,Signal Health is a fictional specialty physician company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.9,0.69
32,Granite Market,Apex Systems Holdings,Consumer,Outdoor Goods,APAC,2022-01-01,1421.5,501.3,113.9,2.44,15.69,Strategic,Carve-out,Granite Market is a fictional outdoor goods company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.91,0.83
33,Yardley Components,Redwood Harbor Capital,Industrials,Automation,North America,2022-01-24,916.9,332.6,60.1,2.09,16.27,Sponsor,Growth recapitalization,Yardley Components is a fictional automation company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.84,0.94
34,Kite Risk,Mariner Growth Partners,Financial Services,Specialty Lending,APAC,2022-01-24,2823.4,728.1,225.4,2.26,18.29,Sponsor,Platform,Kite Risk is a fictional specialty lending company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.75,0.73
35,Cedar Partners,Longview Legacy Partners,Business Services,Consulting,Nordics,2022-02-11,93.7,36.3,9.2,1.44,13.94,Family Office,Platform,Cedar Partners is a fictional consulting company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.77,0.72
36,Lumen Renewables,Ironcrest Partners,Energy Transition,Efficiency Services,Latin America,2022-02-18,2867.9,847.2,164.0,3.95,16.64,Sponsor,Growth recapitalization,Lumen Renewables is a fictional efficiency services company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.7,0.8
37,Willow Media,Search Fund Partners,Media & Entertainment,Gaming Services,United Kingdom,2022-02-19,1801.0,712.4,,3.31,,Other,Growth recapitalization,Willow Media is a fictional gaming services company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.93,0.83
38,Signal Academy,Ironcrest Partners,Education,Test Prep,Nordics,2022-03-04,2389.5,821.6,123.6,5.34,10.23,Sponsor,Merger,Signal Academy is a fictional test prep company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.98,0.68
39,Orion Wellness,Hudson Vale Capital,Beauty & Wellness,Wellness Services,APAC,2022-04-03,1656.8,457.6,92.0,3.07,16.79,Sponsor,Platform,Orion Wellness is a fictional wellness services company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.72,0.67
40,Noble Logic,Northstar Health Group,Software,Cybersecurity,APAC,2022-03-26,190.0,30.2,8.2,9.36,16.93,Strategic,Growth recapitalization,Noble Logic is a fictional cybersecurity company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.77,0.82
41,Forge Clinics,Juniper Family Capital,Healthcare Services,Behavioral Health,Western Europe,2022-04-03,310.8,77.0,19.0,3.44,15.61,Family Office,Add-on,Forge Clinics is a fictional behavioral health company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.84,0.93
42,Yardley Foods,Arbor Ridge Capital,Consumer,Outdoor Goods,Western Europe,2022-04-14,636.8,216.2,42.0,4.16,13.64,Sponsor,Add-on,Yardley Foods is a fictional outdoor goods company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.69,0.83
43,Mosaic Works,Evergreen Holding Co.,Industrials,Testing & Inspection,Western Europe,2022-05-04,510.5,363.7,56.3,1.36,9.66,Other,Add-on,Mosaic Works is a fictional testing & inspection company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.66,0.89
44,Elm Capital Services,Atlas Enterprise Group,Financial Services,Compliance Tech,North America,2022-05-25,2121.7,742.6,180.6,2.11,13.67,Corporate,Add-on,Elm Capital Services is a fictional compliance tech company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.66,0.96
45,Mosaic Group,Pacific Consolidated,Business Services,BPO,Western Europe,2022-05-24,1268.3,480.8,,1.46,,Corporate,Add-on,Mosaic Group is a fictional bpo company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.97,0.72
46,Willow Solar,BlueRiver Industrials,Energy Transition,Efficiency Services,United Kingdom,2022-06-14,2405.5,445.8,111.2,7.13,13.39,Strategic,Take-private,Willow Solar is a fictional efficiency services company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.93,0.79
47,Orion Interactive,Redwood Harbor Capital,Media & Entertainment,Live Events,North America,2022-06-20,3372.6,794.8,182.1,6.22,12.42,Sponsor,Growth recapitalization,Orion Interactive is a fictional live events company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.8,0.65
48,Prairie Skills,Search Fund Partners,Education,Professional Learning,North America,2022-06-20,2331.1,746.6,134.7,3.86,12.38,Other,Growth recapitalization,Prairie Skills is a fictional professional learning company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.93,0.92
49,Aster Wellness,Ironcrest Partners,Beauty & Wellness,Personal Care Brands,North America,2022-07-18,1972.7,618.8,158.8,4.81,9.85,Sponsor,Platform,Aster Wellness is a fictional personal care brands company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.78,0.87
50,Orion Systems,Apex Systems Holdings,Software,Vertical SaaS,United Kingdom,2022-07-18,1882.1,322.7,85.9,6.38,18.56,Strategic,Add-on,Orion Systems is a fictional vertical saas company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.7,0.85
51,Beacon Clinics,Apex Systems Holdings,Healthcare Services,Revenue Cycle,Western Europe,2022-08-14,1038.7,410.4,68.1,3.26,8.97,Strategic,Add-on,Beacon Clinics is a fictional revenue cycle company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.93,0.68
52,Yardley Foods,Mariner Growth Partners,Consumer,Specialty Retail,APAC,2022-08-22,809.8,270.7,64.1,3.44,10.73,Sponsor,Merger,Yardley Foods is a fictional specialty retail company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.84,0.76
53,Prairie Manufacturing,Stonebridge Equity,Industrials,Engineered Components,North America,2022-08-31,214.0,107.9,21.3,1.16,15.75,Sponsor,Platform,Prairie Manufacturing is a fictional engineered components company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.81,0.94
54,Drift Risk,Summit Media Network,Financial Services,Wealth Management,Latin America,2022-09-16,1184.8,270.6,85.7,5.72,13.21,Strategic,Take-private,Drift Risk is a fictional wealth management company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.65,0.77
55,Aster Group,Westlake Sponsor Group,Business Services,Consulting,APAC,2022-09-13,,581.1,124.4,,,Sponsor,Add-on,Aster Group is a fictional consulting company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.85,0.79
56,Helio Renewables,Cobalt Peak Partners,Energy Transition,Grid Software,North America,2022-09-17,263.2,65.3,6.9,7.95,12.5,Sponsor,Growth recapitalization,Helio Renewables is a fictional grid software company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.94,0.86
57,Forge Network,Mariner Growth Partners,Media & Entertainment,Live Events,North America,2022-09-25,1448.3,595.4,74.3,3.7,12.39,Sponsor,Add-on,Forge Network is a fictional live events company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.96,0.91
58,Ridge Skills,Lattice Global,Education,Workforce Training,Nordics,2022-10-05,259.8,69.6,11.4,5.9,15.19,Corporate,Growth recapitalization,Ridge Skills is a fictional workforce training company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.72,0.96
59,Kite Life,Stonebridge Equity,Beauty & Wellness,Skincare,Western Europe,2022-10-19,917.4,571.4,71.2,1.34,16.2,Sponsor,Growth recapitalization,Kite Life is a fictional skincare company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.78,0.76
60,Drift Labs,BrightPath Learning,Software,DevOps,North America,2022-11-03,6069.0,805.1,151.9,10.97,24.7,Strategic,Platform,Drift Labs is a fictional devops company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.65,0.67
61,Lumen Care,HarborPoint Brands,Healthcare Services,Dental Services,APAC,2022-11-15,1722.7,541.2,115.6,3.86,11.69,Strategic,Carve-out,Lumen Care is a fictional dental services company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.77,0.93
62,Quartz Brands,Summit Media Network,Consumer,Specialty Retail,North America,2022-11-30,720.3,369.9,41.9,2.62,13.31,Strategic,Growth recapitalization,Quartz Brands is a fictional specialty retail company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.91,0.82
63,Cedar Works,Search Fund Partners,Industrials,Specialty Manufacturing,Western Europe,2022-12-20,370.0,128.5,20.5,3.1,14.28,Other,Platform,Cedar Works is a fictional specialty manufacturing company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.7,0.68
64,Noble Payments,Mariner Growth Partners,Financial Services,Compliance Tech,North America,2022-12-28,944.0,213.9,50.7,4.55,17.18,Sponsor,Add-on,Noble Payments is a fictional compliance tech company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.95,0.76
65,Quartz Group,Sage Rock Holdings,Business Services,IT Services,Nordics,2022-12-23,295.5,144.6,30.2,1.27,14.14,Family Office,Carve-out,Quartz Group is a fictional it services company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.94,0.69
66,Prairie Renewables,Northstar Health Group,Energy Transition,Efficiency Services,Western Europe,2023-01-09,1449.8,392.2,67.5,5.67,14.96,Strategic,Growth recapitalization,Prairie Renewables is a fictional efficiency services company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.7,0.96
67,Cedar Events,Meridian Financial Group,Media & Entertainment,Digital Media,Western Europe,2023-01-18,1688.0,658.8,,3.04,,Strategic,Growth recapitalization,Cedar Events is a fictional digital media company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.65,0.92
68,Prairie Education,Westlake Sponsor Group,Education,Workforce Training,APAC,2023-01-25,2612.8,736.7,,4.16,,Sponsor,Merger,Prairie Education is a fictional workforce training company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.78,0.67
69,Ivy Beauty,Cobalt Peak Partners,Beauty & Wellness,Wellness Services,United Kingdom,2023-02-15,2175.1,743.6,189.0,2.23,16.11,Sponsor,Take-private,Ivy Beauty is a fictional wellness services company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.71,0.69
70,Quartz Analytics,HarborPoint Brands,Software,Cybersecurity,United Kingdom,2023-03-10,5183.7,652.0,127.2,12.7,21.48,Strategic,Carve-out,Quartz Analytics is a fictional cybersecurity company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.67,0.66
71,Beacon Medical,Mariner Growth Partners,Healthcare Services,Revenue Cycle,Western Europe,2023-03-15,171.0,74.2,,2.46,,Sponsor,Add-on,Beacon Medical is a fictional revenue cycle company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.78,0.91
72,Helio Foods,Summit Media Network,Consumer,Pet Products,Latin America,2023-03-24,233.4,152.0,16.5,1.51,15.33,Strategic,Add-on,Helio Foods is a fictional pet products company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.75,0.94
73,Willow Controls,Ironcrest Partners,Industrials,Testing & Inspection,APAC,2023-04-09,1204.6,519.5,114.5,3.11,9.63,Sponsor,Add-on,Willow Controls is a fictional testing & inspection company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.95,0.74
74,Elm Risk,Northstar Health Group,Financial Services,Specialty Lending,Western Europe,2023-04-08,1594.7,487.4,134.4,3.51,10.15,Strategic,Platform,Elm Risk is a fictional specialty lending company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.68,0.71
75,Willow Services,HarborPoint Brands,Business Services,Human Capital,Western Europe,2023-04-14,253.1,91.4,,1.52,,Strategic,Platform,Willow Services is a fictional human capital company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.92,0.89
76,Terra Grid,Atlas Enterprise Group,Energy Transition,EV Infrastructure,North America,2023-05-04,1975.6,327.5,72.8,7.97,17.18,Corporate,Merger,Terra Grid is a fictional ev infrastructure company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.79,0.73
77,Vector Studios,Redwood Harbor Capital,Media & Entertainment,Live Events,North America,2023-05-07,1842.1,699.5,152.6,2.31,12.55,Sponsor,Growth recapitalization,Vector Studios is a fictional live events company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.78,0.81
78,Quartz Learning,BlueRiver Industrials,Education,Test Prep,APAC,2023-05-27,2374.0,755.2,,3.45,,Strategic,Carve-out,Quartz Learning is a fictional test prep company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.67,0.73
